account_id,geo_match_count,geo_under_500_count,geo_between_501_1000_count,geo_between_1001_1599_count,geo_between_1600_1800_count,geo_proximity_score,connections,matched_locations,memo_values
ACCT00001,2,1,1,0,0,17,2,"Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China; 5900 Highway 225, Deer Park, TX",2
ACCT00815,2,0,1,0,1,9,2,"Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China; PRC to Sinaloa Corridor",2
ACCT00002,1,1,0,0,0,10,1,"Jiangsu Bangdeya New Material Technology Company, Changzhou, China",1
ACCT01858,4,3,0,0,1,32,4,"Normal non-reference transaction location; Jiangsu Bangdeya New Material Technology Company, Changzhou, China; Bachigualato, Culiacan, Sinaloa; Xiamen Section, China Pilot Free Trade Zone",4
ACCT00003,2,1,0,0,1,12,2,Normal non-reference transaction location,2
ACCT01483,2,1,0,0,1,12,2,"Normal non-reference transaction location; Lincoln/Juarez Bridge, Laredo, TX",2
ACCT00004,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT00627,6,2,2,1,1,39,6,Normal non-reference transaction location,5
ACCT00005,4,1,2,0,1,26,4,"Rancho la Lagunita, Mezquital, Durango; Normal non-reference transaction location; Manzanillo, Colima, Mexico",4
ACCT00496,2,1,0,1,0,13,2,"Normal non-reference transaction location; Manzanillo, Colima, Mexico",2
ACCT00006,4,2,1,1,0,30,4,Normal non-reference transaction location,3
ACCT01838,2,2,0,0,0,20,2,Normal non-reference transaction location,2
ACCT00007,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT00250,4,1,1,2,0,23,4,"Mexicali, Baja California, Mexico; Normal non-reference transaction location; Cadereyta Jimenez, Nuevo Leon, Mexico; Bachigualato, Culiacan, Sinaloa",4
ACCT00008,2,1,0,1,0,13,2,"Brownsville, TX; Normal non-reference transaction location",2
ACCT00301,3,0,0,3,0,9,3,"Brownsville, TX; Normal non-reference transaction location; Hebei Blvd, Zhengding, Shijiazhuang, Hebei, China",3
ACCT00009,3,0,2,0,1,16,3,"Normal non-reference transaction location; Hebei Blvd, Zhengding, Shijiazhuang, Hebei, China",3
ACCT00015,2,0,0,1,1,5,3,"Bachigualato, Culiacan, Sinaloa; Hebei Blvd, Zhengding, Shijiazhuang, Hebei, China",3
ACCT00010,2,0,2,0,0,14,2,"Normal non-reference transaction location; Matamoros, Tamaulipas, Mexico",1
ACCT00443,2,0,1,1,0,10,2,"Normal non-reference transaction location; Bachigualato, Culiacan, Sinaloa",2
ACCT00011,4,1,2,1,0,27,4,"Normal non-reference transaction location; Hanhong Medicine Technology Company, Wuhan, China; PRC to Sinaloa Corridor",4
ACCT00182,2,1,1,0,0,17,2,"Normal non-reference transaction location; Cadereyta Jimenez, Nuevo Leon, Mexico",2
ACCT00012,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT00876,3,0,2,1,0,17,3,Normal non-reference transaction location,3
ACCT00013,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT00498,2,1,0,0,1,12,3,"Normal non-reference transaction location; PRC Corridor to Sinaloa, Mexico Corridor",3
ACCT00014,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT00877,3,0,3,0,0,21,3,Normal non-reference transaction location,3
ACCT00112,5,1,2,1,1,29,6,"Normal non-reference transaction location; Bachigualato, Culiacan, Sinaloa; Rancho la Lagunita, Mezquital, Durango",5
ACCT00016,2,0,0,1,1,5,2,Normal non-reference transaction location,2
ACCT02482,2,0,1,0,1,9,2,Normal non-reference transaction location,1
ACCT00017,2,1,1,0,0,17,2,"Normal non-reference transaction location; Refineria Lazaro Cardenas del Rio, Minatitlan, Veracruz",2
ACCT00018,2,1,0,1,0,13,2,"Normal non-reference transaction location; Hanhong Medicine Technology Company, Wuhan, China",2
ACCT01665,2,1,0,1,0,13,2,"Normal non-reference transaction location; Hanhong Medicine Technology Company, Wuhan, China",2
ACCT00019,1,0,1,0,0,7,1,"Tamazula de Gordiano, Jalisco, Mexico",1
ACCT01214,3,1,1,0,1,19,3,"Normal non-reference transaction location; Paseo International South, San Diego, CA; Tamazula de Gordiano, Jalisco, Mexico",3
ACCT00020,2,1,0,1,0,13,2,Normal non-reference transaction location,2
ACCT02442,2,2,0,0,0,20,2,Normal non-reference transaction location,2
ACCT00021,2,2,0,0,0,20,3,Normal non-reference transaction location,3
ACCT00471,1,0,1,0,0,7,2,"Paseo International South, San Diego, CA",2
ACCT00022,3,0,2,1,0,17,3,"Normal non-reference transaction location; Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China",3
ACCT01140,4,0,2,2,0,20,4,"Normal non-reference transaction location; Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China; Avenida Marina Nacional No 329, Miguel Hidalgo, Ciudad de Mexico",4
ACCT00023,2,1,0,0,1,12,2,"Normal non-reference transaction location; PRC Corridor to Sinaloa, Mexico Corridor",2
ACCT00024,3,1,0,1,1,15,3,"Normal non-reference transaction location; 5900 Highway 225, Deer Park, TX",2
ACCT01830,4,1,1,2,0,23,4,"Normal non-reference transaction location; Henan Ruiju Biotechnology, Zhengzhou, Henan, China",4
ACCT00025,1,0,1,0,0,7,1,"Manzanillo, Colima, Mexico",1
ACCT00329,2,0,1,0,1,9,3,"Normal non-reference transaction location; Manzanillo, Colima, Mexico",3
ACCT00026,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT02389,4,0,2,0,2,18,4,"Mexicali, Baja California, Mexico; Normal non-reference transaction location; 7141 Office City Dr, Houston, TX",4
