account_id,cog_score,risk_score,hop_count,max_hop_depth,multi_hop_count,connections,time_window_flag,geo_match_count,geo_under_500_count,geo_between_501_1000_count,geo_between_1001_1599_count,geo_between_1600_1800_count,geo_proximity_score,avg_latitude,avg_longitude,merchants,risky_merchants,locations,geo_distance_bands,matched_locations,analyzer_reasons,cog_reasons
ACCT01912,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-73.883307,0,Online Marketplace Store,,,,connected to risky merchants
ACCT01938,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-76.846088,0,General Logistics LLC,,,,connected to risky merchants
ACCT01940,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-114.907079,0,Campus Book Supply,,,,connected to risky merchants
ACCT01958,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,115.1897,0,Mobile Phone Payment,,,,connected to risky merchants
ACCT01989,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-90.047218,0,Campus Book Supply,,,,connected to risky merchants
ACCT01995,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-110.80541,0,Suncoast Hardware,,,,connected to risky merchants
ACCT02003,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-110.965152,0,Everyday Fuel Stop,,,,connected to risky merchants
ACCT02057,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,114.030092,0,Oilfield Waste Transport,,,,connected to risky merchants
ACCT02067,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,112.11712,0,Mobile Phone Payment,,,,connected to risky merchants
ACCT02072,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-102.496522,0,Auto Parts Warehouse,,,,connected to risky merchants
ACCT02094,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-109.549431,0,Mobile Phone Payment,,,,connected to risky merchants
ACCT02097,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-100.432304,0,Restaurant Services Group,,,,connected to risky merchants
ACCT02130,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-115.999245,0,Oilfield Waste Transport,,,,connected to risky merchants
ACCT02148,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-107.283071,0,Money Mule Transfer,,,,connected to risky merchants
ACCT02246,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,114.156312,0,Tampa Grocery Market,,,,connected to risky merchants
ACCT02262,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-94.416189,0,Chemical Import Services,,,,connected to risky merchants
ACCT02266,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-104.292769,0,General Logistics LLC,,,,connected to risky merchants
ACCT02287,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-90.944826,0,Money Mule Transfer,,,,connected to risky merchants
ACCT02379,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-96.154442,0,Online Marketplace Store,,,,connected to risky merchants
ACCT02494,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-95.125663,0,Mobile Phone Payment,,,,connected to risky merchants
