transaction_id,sender,receiver,amount,sender_lat,sender_lon,receiver_lat,receiver_lon,date,datetime_group,payment_type,geo_flag,sender_country,receiver_country,sender_city,receiver_city,route_corridor,merchant_name,merchant_type,country,market,geo_distance_band,geo_risk_points,latitude,longitude,location_id,location_address,location_category,memo
TX0000001,ACCT00001,ACCT00815,6893.5,19.453047,-100.903271,25.615505,-102.521992,2025-04-02,2025-04-02 20:44,derivatives_trade,1,CA,CA,"Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China","Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China",prc_precursor_chemical_zone,Construction Materials Export,construction,CA,TSX,between_501_1000m,7,30.58798,114.294913,GEO011,"Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China",prc_precursor_chemical_zone,industrial solvent order
TX0000002,ACCT00002,ACCT01858,5204.97,33.430742,-80.071664,35.623998,-107.692837,2025-03-23,2025-03-23 11:10,brokerage_transfer,1,US,US,"Jiangsu Bangdeya New Material Technology Company, Changzhou, China","Jiangsu Bangdeya New Material Technology Company, Changzhou, China",prc_precursor_chemical_zone,Front Company Holdings,front_shell_company,US,HKEX,under_500m,10,31.677462,120.301087,GEO016,"Jiangsu Bangdeya New Material Technology Company, Changzhou, China",prc_precursor_chemical_zone,bulk supply payment
TX0000003,ACCT00003,ACCT01483,5359.37,26.158863,-73.174538,29.698744,-74.301473,2025-01-29,2025-01-29 04:32,crypto_exchange,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Everyday Fuel Stop,normal_fuel,US,NONE,between_1600_1800m,2,31.754559,-117.014198,NONE,Normal non-reference transaction location,normal_location,equipment purchase
TX0000004,ACCT00004,ACCT00627,1013.04,18.390204,-78.489568,39.726787,-114.145595,2025-02-17,2025-02-17 05:34,derivatives_trade,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Restaurant Services Group,restaurant,US,HKEX,between_501_1000m,7,40.765142,-82.081584,NONE,Normal non-reference transaction location,normal_location,invoice payment
TX0000005,ACCT00005,ACCT00496,1926.43,18.700576,-107.289791,33.055467,-108.359344,2025-02-01,2025-02-01 07:04,brokerage_transfer,1,US,US,"Manzanillo, Colima, Mexico","Manzanillo, Colima, Mexico",oil_smuggling_corridor,Campus Book Supply,education_retail,US,TSX,under_500m,10,19.069069,-104.293889,GEO041,"Manzanillo, Colima, Mexico",oil_smuggling_corridor,online order
TX0000006,ACCT00006,ACCT01838,20680.5,29.974111,-117.335896,19.238307,-84.089552,2025-01-18,2025-01-18 13:11,remittance,0,CA,CA,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Online Chemical Vendor,ecommerce_chemical_vendor,CA,NONE,under_500m,10,22.447718,-87.392755,NONE,Normal non-reference transaction location,normal_location,warehouse transfer
TX0000007,ACCT00007,ACCT00250,549.49,18.631061,-79.218136,26.690613,-75.628174,2025-04-06,2025-04-06 10:03,bank_transfer,0,MX,MX,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Small Business Consulting,consulting,MX,NONE,between_1001_1599m,3,29.770138,-114.875839,NONE,Normal non-reference transaction location,normal_location,equipment purchase
TX0000008,ACCT00008,ACCT00301,3185.11,32.695432,-117.64796,36.610499,-104.527956,2025-03-10,2025-03-10 06:32,remittance,1,US,US,"Brownsville, TX","Brownsville, TX",border_crossing_or_port_entry,Everyday Fuel Stop,normal_fuel,US,NONE,between_1001_1599m,3,25.94777,-97.391593,GEO035,"Brownsville, TX",border_crossing_or_port_entry,retail purchase
TX0000009,ACCT00009,ACCT00015,4798.44,20.554251,-112.264952,24.3982,-77.545833,2025-02-12,2025-02-12 04:40,remittance,1,US,US,"Hebei Blvd, Zhengding, Shijiazhuang, Hebei, China","Hebei Blvd, Zhengding, Shijiazhuang, Hebei, China",prc_precursor_chemical_zone,Small Business Consulting,consulting,US,NONE,between_1600_1800m,2,38.130285,114.601235,GEO010,"Hebei Blvd, Zhengding, Shijiazhuang, Hebei, China",prc_precursor_chemical_zone,student expense
TX0000010,ACCT00010,ACCT00443,9366.79,21.635115,-103.228212,37.744471,-74.48999,2025-02-18,2025-02-18 01:54,crypto_exchange,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Oilfield Waste Transport,hazardous_material_transport,US,NONE,between_501_1000m,7,28.641528,-118.887772,NONE,Normal non-reference transaction location,normal_location,brokerage services
TX0000011,ACCT00011,ACCT00182,3705.84,34.274102,-104.485498,24.422832,-99.622319,2025-04-01,2025-04-01 13:00,derivatives_trade,0,HK,HK,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Campus Book Supply,education_retail,HK,NASDAQ,between_501_1000m,7,22.468308,114.173893,NONE,Normal non-reference transaction location,normal_location,shipping payment
TX0000012,ACCT00012,ACCT00876,10041.74,22.391376,-109.039153,17.586209,-106.982086,2025-03-07,2025-03-07 15:50,cashapp,0,CN,CN,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Cross Border Logistics Group,cross_border_logistics,CN,NONE,between_501_1000m,7,35.520486,115.783118,NONE,Normal non-reference transaction location,normal_location,hazardous materials transport
TX0000013,ACCT00013,ACCT00498,2744.82,38.408487,-98.796666,38.764514,-97.933887,2025-02-28,2025-02-28 04:51,crypto_exchange,0,CN,CN,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Small Business Consulting,consulting,CN,NONE,under_500m,10,29.966322,118.485124,NONE,Normal non-reference transaction location,normal_location,online order
TX0000014,ACCT00014,ACCT00877,7091.27,37.561569,-83.548244,26.129145,-117.734676,2025-01-09,2025-01-09 13:26,brokerage_transfer,0,MX,MX,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Tampa Grocery Market,normal_retail,MX,NYSE,between_501_1000m,7,28.546937,-87.672077,NONE,Normal non-reference transaction location,normal_location,retail purchase
TX0000015,ACCT00015,ACCT00112,3265.85,39.828899,-99.029583,37.037862,-96.836192,2025-01-11,2025-01-11 20:27,cashapp,1,HK,HK,"Bachigualato, Culiacan, Sinaloa","Bachigualato, Culiacan, Sinaloa",sinaloa_fentanyl_corridor,Tampa Grocery Market,normal_retail,HK,NONE,between_1001_1599m,3,24.77401,-107.473459,GEO021,"Bachigualato, Culiacan, Sinaloa",sinaloa_fentanyl_corridor,consulting fee
TX0000016,ACCT00016,ACCT02482,4948.31,26.007367,-75.633823,21.759915,-91.355596,2025-03-19,2025-03-19 23:45,paypal,0,HK,HK,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Mobile Phone Payment,personal_transfer,HK,NONE,between_1600_1800m,2,22.330319,114.344816,NONE,Normal non-reference transaction location,normal_location,monthly services
TX0000017,ACCT00017,ACCT00627,6600.23,37.441116,-80.617104,19.07991,-78.326597,2025-02-25,2025-02-25 05:46,derivatives_trade,0,CN,CN,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Money Mule Transfer,money_mule_straw_buyer,CN,TSX,under_500m,10,36.863223,114.257018,NONE,Normal non-reference transaction location,normal_location,logistics handling
TX0000018,ACCT00018,ACCT01665,6754.42,25.856491,-93.093717,25.250177,-73.151584,2025-03-04,2025-03-04 17:48,venmo,1,CN,CN,"Hanhong Medicine Technology Company, Wuhan, China","Hanhong Medicine Technology Company, Wuhan, China",prc_precursor_chemical_zone,Restaurant Services Group,restaurant,CN,NONE,between_1001_1599m,3,30.588139,114.308203,GEO015,"Hanhong Medicine Technology Company, Wuhan, China",prc_precursor_chemical_zone,fuel purchase
TX0000019,ACCT00019,ACCT01214,453.7,28.781089,-78.727612,30.777541,-96.877137,2025-01-30,2025-01-30 11:11,remittance,1,US,US,"Tamazula de Gordiano, Jalisco, Mexico","Tamazula de Gordiano, Jalisco, Mexico",cartel_regional_risk_location,Suncoast Hardware,hardware,US,NONE,between_501_1000m,7,19.665178,-103.238946,GEO019,"Tamazula de Gordiano, Jalisco, Mexico",cartel_regional_risk_location,consulting fee
TX0000020,ACCT00020,ACCT02442,7321.2,39.742165,-108.649544,22.064605,-88.280734,2025-04-12,2025-04-12 19:14,derivatives_trade,0,CA,CA,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Restaurant Services Group,restaurant,CA,NASDAQ,under_500m,10,27.634506,-88.948634,NONE,Normal non-reference transaction location,normal_location,consulting fee
TX0000021,ACCT00021,ACCT00471,1468.73,23.926654,-112.404085,33.528272,-86.511984,2025-03-11,2025-03-11 07:41,cashapp,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Everyday Fuel Stop,normal_fuel,US,NONE,outside_1800m,0,36.983324,-93.247269,NONE,Normal non-reference transaction location,normal_location,invoice payment
TX0000022,ACCT00022,ACCT01140,2776.52,39.684645,-81.389528,30.202319,-97.532834,2025-01-24,2025-01-24 18:27,crypto_exchange,1,US,US,"Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China","Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China",prc_precursor_chemical_zone,General Logistics LLC,logistics,US,NONE,between_501_1000m,7,30.596258,114.301437,GEO011,"Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China",prc_precursor_chemical_zone,shipping payment
TX0000023,ACCT00023,ACCT00498,14925.66,28.961012,-85.75285,29.212928,-105.69588,2025-01-04,2025-01-04 20:38,venmo,1,CN,CN,"PRC Corridor to Sinaloa, Mexico Corridor","PRC Corridor to Sinaloa, Mexico Corridor",sinaloa_fentanyl_corridor,Cross Border Logistics Group,cross_border_logistics,CN,NONE,between_1600_1800m,2,24.990926,-107.471957,GEO008,"PRC Corridor to Sinaloa, Mexico Corridor",sinaloa_fentanyl_corridor,chemical sample invoice
TX0000024,ACCT00024,ACCT01830,7933.94,22.605499,-83.100499,18.047535,-84.488268,2025-03-10,2025-03-10 15:22,brokerage_transfer,0,MX,MX,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,General Logistics LLC,logistics,MX,JPX,between_1001_1599m,3,31.711619,-109.597028,NONE,Normal non-reference transaction location,normal_location,fuel purchase
TX0000025,ACCT00025,ACCT00329,372.63,27.415315,-113.570059,32.209948,-78.733935,2025-04-20,2025-04-20 10:54,derivatives_trade,1,CA,CA,"Manzanillo, Colima, Mexico","Manzanillo, Colima, Mexico",oil_smuggling_corridor,Restaurant Services Group,restaurant,CA,NASDAQ,between_501_1000m,7,19.066151,-104.298315,GEO041,"Manzanillo, Colima, Mexico",oil_smuggling_corridor,restaurant supply order
TX0000026,ACCT00026,ACCT02389,22777.21,25.293575,-91.559273,32.334529,-98.906098,2025-01-19,2025-01-19 07:29,remittance,0,CA,CA,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,PRC Chemical Supply Trading,chemical_supplier_prc,CA,NONE,between_501_1000m,7,23.949391,-97.913511,NONE,Normal non-reference transaction location,normal_location,warehouse transfer
TX0000027,ACCT00027,ACCT02487,5366.13,27.579757,-91.919179,34.576634,-113.943998,2025-04-13,2025-04-13 11:14,venmo,0,MX,MX,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Money Mule Transfer,money_mule_straw_buyer,MX,NONE,between_501_1000m,7,26.695109,-107.423081,NONE,Normal non-reference transaction location,normal_location,cross-border freight
TX0000028,ACCT00028,ACCT01617,3282.04,28.315445,-90.120391,39.636059,-103.239717,2025-01-02,2025-01-02 08:34,paypal,0,CA,CA,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Mobile Phone Payment,personal_transfer,CA,NONE,between_1001_1599m,3,29.286841,-86.258172,NONE,Normal non-reference transaction location,normal_location,online order
TX0000029,ACCT00029,ACCT02406,11682.61,27.672701,-107.374931,25.704465,-73.858253,2025-04-06,2025-04-06 23:09,equity_trade,0,CN,CN,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Oilfield Waste Transport,hazardous_material_transport,CN,Euronext,between_501_1000m,7,22.588893,110.040069,NONE,Normal non-reference transaction location,normal_location,hazardous materials transport
TX0000030,ACCT00030,ACCT00955,4624.02,20.163278,-101.879097,35.922357,-91.501619,2025-02-12,2025-02-12 04:50,bank_transfer,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Suncoast Hardware,hardware,US,NONE,under_500m,10,26.758822,-79.276949,NONE,Normal non-reference transaction location,normal_location,equipment purchase
TX0000031,ACCT00031,ACCT01962,7650.82,31.98362,-91.658589,34.091667,-100.859302,2025-04-19,2025-04-19 12:27,paypal,0,CA,CA,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Restaurant Services Group,restaurant,CA,NONE,between_1001_1599m,3,23.708346,-113.690421,NONE,Normal non-reference transaction location,normal_location,monthly services
TX0000032,ACCT00032,ACCT01534,12217.22,18.439543,-74.951892,30.480401,-87.849403,2025-01-20,2025-01-20 21:59,crypto_exchange,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Online Chemical Vendor,ecommerce_chemical_vendor,US,NONE,between_501_1000m,7,30.96235,-113.884574,NONE,Normal non-reference transaction location,normal_location,bulk supply payment
TX0000033,ACCT00033,ACCT02281,7838.56,32.776271,-114.868656,34.783257,-74.268536,2025-01-04,2025-01-04 19:59,remittance,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Marketing Services LLC,possible_front_business,US,NONE,under_500m,10,27.902489,-113.26718,NONE,Normal non-reference transaction location,normal_location,industrial solvent order
TX0000034,ACCT00034,ACCT01697,5787.38,26.486322,-91.030377,17.18449,-104.436129,2025-02-04,2025-02-04 06:48,derivatives_trade,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Everyday Fuel Stop,normal_fuel,US,HKEX,under_500m,10,33.430946,-105.504289,NONE,Normal non-reference transaction location,normal_location,consulting fee
TX0000035,ACCT00035,ACCT01884,2510.61,36.968622,-76.610361,19.115117,-79.998204,2025-04-28,2025-04-28 02:55,brokerage_transfer,0,MX,MX,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,General Logistics LLC,logistics,MX,Euronext,under_500m,10,31.492995,-111.671931,NONE,Normal non-reference transaction location,normal_location,student expense
TX0000036,ACCT00036,ACCT00711,6429.98,30.547803,-89.411576,31.988523,-79.108891,2025-03-19,2025-03-19 04:48,paypal,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Restaurant Services Group,restaurant,US,NONE,between_1001_1599m,3,32.182484,-76.56475,NONE,Normal non-reference transaction location,normal_location,fuel purchase
TX0000037,ACCT00037,ACCT02434,7733.29,39.985337,-97.72646,36.463203,-80.318027,2025-03-06,2025-03-06 12:29,derivatives_trade,0,HK,HK,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Tampa Grocery Market,normal_retail,HK,LSE,outside_1800m,0,22.175296,114.163004,NONE,Normal non-reference transaction location,normal_location,fuel purchase
TX0000038,ACCT00038,ACCT00270,7431.75,24.445562,-88.477538,32.891244,-112.197175,2025-02-12,2025-02-12 03:35,equity_trade,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Hardware Bulk Supply,hardware,US,TSX,between_1001_1599m,3,34.323832,-113.352866,NONE,Normal non-reference transaction location,normal_location,hazardous materials transport
TX0000039,ACCT00039,ACCT00564,5650.06,20.702066,-109.861931,33.628295,-89.886678,2025-01-20,2025-01-20 02:18,paypal,0,MX,MX,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Small Business Consulting,consulting,MX,NONE,outside_1800m,0,26.270472,-98.48536,NONE,Normal non-reference transaction location,normal_location,invoice payment
TX0000040,ACCT00040,ACCT00664,7438.81,37.427985,-105.172164,35.314804,-105.724392,2025-04-15,2025-04-15 06:51,cashapp,0,HK,HK,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Hardware Bulk Supply,hardware,HK,NONE,outside_1800m,0,22.141036,114.307535,NONE,Normal non-reference transaction location,normal_location,warehouse transfer
TX0000041,ACCT00041,ACCT00599,5257.39,20.588471,-75.689832,31.613122,-98.953536,2025-01-18,2025-01-18 01:18,crypto_exchange,0,CN,CN,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Restaurant Services Group,restaurant,CN,NONE,between_1600_1800m,2,22.34207,107.09744,NONE,Normal non-reference transaction location,normal_location,fuel purchase
TX0000042,ACCT00042,ACCT00986,4656.61,37.959955,-116.040951,26.285152,-101.201393,2025-03-15,2025-03-15 13:11,paypal,0,MX,MX,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Everyday Fuel Stop,normal_fuel,MX,NONE,between_1001_1599m,3,24.614339,-116.369637,NONE,Normal non-reference transaction location,normal_location,restaurant supply order
TX0000043,ACCT00043,ACCT00180,8408.3,21.586482,-101.936162,35.740198,-79.039078,2025-04-12,2025-04-12 06:56,bank_transfer,0,US,US,Normal non-reference transaction location,Normal non-reference transaction location,normal_location,Small Business Consulting,consulting,US,NONE,between_501_1000m,7,29.05302,-84.595327,NONE,Normal non-reference transaction location,normal_location,student expense
TX0000044,ACCT00044,ACCT01204,18647.42,31.756436,-98.427677,32.347263,-82.383498,2025-02-11,2025-02-11 03:05,brokerage_transfer,1,CN,CN,"Manzanillo, Colima, Mexico","Manzanillo, Colima, Mexico",oil_smuggling_corridor,Oilfield Waste Transport,hazardous_material_transport,CN,TSX,under_500m,10,19.042162,-104.310495,GEO029,"Manzanillo, Colima, Mexico",oil_smuggling_corridor,hazardous materials transport
